證券代碼,TSE 產業別,最近上市日
1101 台泥,01,19620209
1102 亞泥,01,19620618
1103 嘉泥,01,19691127
1104 環泥,01,19710202
1108 幸福,01,19900606
1109 信大,01,19911205
1110 東泥,01,19941022
1201 味全,02,19620209
1203 味王,02,19640824
1210 大成,02,19780520
1213 大飲,02,19810410
1215 卜蜂,02,19870727
1216 統一,02,19871228
1217 愛之味,02,19891028
1218 泰山,02,19891111
1219 福壽,02,19901201
1220 台榮,02,19911120
1225 福懋油,02,19930927
1227 佳格,02,19940409
1229 聯華,02,19760719
1231 聯華食,02,19951102
1232 大統益,02,19960209
1233 天仁,02,19990120
1234 黑松,02,19990312
1235 興泰,02,20000911
1236 宏亞,02,20010919
1256 鮮活果汁-KY,02,20160317
1301 台塑,03,19640727
1303 南亞,03,19671115
1304 台聚,03,19720520
1305 華夏,03,19730305
1307 三芳,03,19851123
1308 亞聚,03,19860620
1309 台達化,03,19860627
1310 台苯,03,19870806
1312 國喬,03,19881221
1313 聯成,03,19890327
1314 中石化,03,19910712
1315 達新,03,19920509
1316 上曜,14,19921015
1319 東陽,12,19941212
1321 大洋,03,19990126
1323 永裕,03,20000911
1324 地球,03,20000911
1325 恒大,03,20000911
1326 台化,03,19841220
1337 再生-KY,03,20110817
1338 廣華-KY,12,20121219
1339 昭輝,12,20120424
1340 勝悅-KY,03,20140114
1341 富林-KY,03,20181224
1342 八貫,20,20201124
1402 遠東新,04,19670414
1409 新纖,04,19731008
1410 南染,04,19731008
1413 宏洲,04,19751227
1414 東和,04,19760205
1416 廣豐,20,19760420
1417 嘉裕,04,19761228
1418 東華,04,19770214
1419 新紡,04,19770314
1423 利華,04,19790402
1432 大魯閣,37,19820726
1434 福懋,04,19851224
1435 中福,20,19871228
1436 華友聯,14,19880411
1437 勤益控,20,19881110
1438 三地開發,14,19881215
1439 雋揚,14,19890522
1440 南紡,04,19891003
1441 大東,04,19891027
1442 名軒,14,19891116
1443 立益物流,20,19900421
1444 力麗,04,19900808
1445 大宇,04,19910205
1446 宏和,04,19911015
1447 力鵬,04,19920128
1449 佳和,04,19920506
1451 年興,04,19921221
1452 宏益,04,19921228
1453 大將,14,19930419
1454 台富,04,19930507
1455 集盛,04,19931007
1456 怡華,14,19931209
1457 宜進,04,19941020
1459 聯發,04,19941026
1460 宏遠,04,19950428
1463 強盛新,04,19961205
1464 得力,04,19970118
1465 偉全,04,19970908
1466 聚隆,04,19980404
1467 南緯,04,19981221
1468 昶和,04,19990121
1470 大統新創,04,19990521
1471 首利,28,20000306
1472 三洋實業,14,20000911
1473 台南,04,20000911
1474 弘裕,04,20001031
1475 業旺,04,20001027
1476 儒鴻,04,20010418
1477 聚陽,04,20030121
1503 士電,05,19691215
1504 東元,05,19731105
1506 正道,05,19800811
1512 瑞利,12,19940128
1513 中興電,05,19940308
1514 亞力,05,19940326
1515 力山,05,19950204
1516 川飛,20,19950401
1517 利奇,05,19951114
1519 華城,05,19970416
1521 大億,12,19971006
1522 堤維西,12,19971006
1524 耿鼎,12,19981030
1525 江申,12,19990515
1526 日馳,05,20000327
1527 鑽全,05,20000621
1528 恩德,05,20000911
1529 樂事綠能,05,20000911
1530 亞崴,05,20000911
1531 高林股,05,20000911
1532 勤美,05,20000911
1533 車王電,12,20010406
1535 中宇,05,20010919
1536 和大,12,20010919
1537 廣隆,05,20020122
1538 正峰,05,20020826
1539 巨庭,05,20021029
1540 喬福,05,20020826
1541 錩泰,05,20030319
1558 伸興,05,20141223
1560 中砂,05,20050131
1563 巧新,12,20240513
1568 倉佑,12,20140514
1582 信錦,28,20091217
1583 程泰,05,20080124
1587 吉茂,12,20180416
1589 永冠-KY,05,20120427
1590 亞德客-KY,05,20101213
1597 直得,05,20201223
1598 岱宇,37,20160920
1603 華電,06,19680603
1604 聲寶,06,19710107
1605 華新,06,19721103
1608 華榮,06,19880711
1609 大亞,06,19881212
1611 中電,06,19900116
1612 宏泰,06,19930508
1614 三洋電,06,19970918
1615 大山,06,20000330
1616 億泰,06,20000911
1617 榮星,06,20000911
1618 合機,06,20000911
1626 艾美特-KY,06,20130321
1702 南僑,02,19731217
1707 葡萄王,22,19821220
1708 東鹼,21,19860616
1709 和益,21,19860703
1710 東聯,21,19871021
1711 永光,21,19881227
1712 興農,21,19891214
1713 國化,21,19900131
1714 和桐,21,19910830
1717 長興,21,19940330
1718 中纖,21,19631202
1720 生達,22,19951212
1721 三晃,21,19960516
1722 台肥,21,19980324
1723 中碳,21,19981127
1725 元禎,21,20000911
1726 永記,21,20000911
1727 中華化,21,20000911
1730 花仙子,21,20010919
1731 美吾華,22,20010919
1732 毛寶,21,20010919
1733 五鼎,22,20010919
1734 杏輝,22,20020826
1735 日勝化,21,20020826
1736 喬山,37,20030109
1737 臺鹽,02,20031118
1752 南光,22,20220119
1760 寶齡富錦,22,20180123
1762 中化生,22,20101220
1773 勝一,21,20090227
1776 展宇,21,20160509
1783 和康生,22,20131220
1786 科妍,22,20131112
1789 神隆,22,20110929
1795 美時,22,20191216
1802 台玻,08,19730720
1805 寶徠,14,19891020
1806 冠軍,08,19920929
1808 潤隆,14,19941026
1809 中釉,08,19960430
1810 和成,08,19911014
1817 凱撒衛,08,20131024
1903 士紙,09,19631209
1904 正隆,09,19710910
1905 華紙,09,19750217
1906 寶隆,09,19760426
1907 永豐餘,09,19770222
1909 榮成,09,19851119
2002 中鋼,10,19741226
2006 東和鋼鐵,10,19880713
2007 燁興,10,19881004
2008 高興昌,10,19881228
2009 第一銅,10,19891020
2010 春源,10,19891222
2012 春雨,10,19911017
2013 中鋼構,10,19920121
2014 中鴻,10,19920220
2015 豐興,10,19920525
2017 官田鋼,10,19921102
2020 美亞,10,19930427
2022 聚亨,10,19950327
2023 燁輝,10,19950728
2024 志聯,10,19951230
2025 千興,10,19960208
2027 大成鋼,10,19961024
2028 威致,10,19961213
2029 盛餘,10,19970111
2030 彰源,10,19981224
2031 新光鋼,10,20000911
2032 新鋼,10,20000911
2033 佳大,10,20000911
2034 允強,10,20010919
2038 海光,10,20081230
2049 上銀,05,20090626
2059 川湖,28,20080625
2062 橋椿,38,20071116
2069 運錩,10,20160322
2101 南港,11,19631101
2102 泰豐,11,19790716
2103 台橡,11,19820925
2104 國際中橡,11,19860715
2105 正新,11,19871207
2106 建大,11,19901220
2107 厚生,11,19920303
2108 南帝,11,19921027
2109 華豐,11,20000508
2114 鑫永銓,11,20101229
2115 六暉-KY,12,20131225
2201 裕隆,12,19760708
2204 中華,12,19910312
2206 三陽工業,12,19960729
2207 和泰車,12,19970225
2208 台船,15,20081222
2211 長榮鋼,10,20210412
2227 裕日車,12,20041221
2228 劍麟,12,20131125
2231 為升,12,20101119
2233 宇隆,12,20190917
2236 百達-KY,12,20150603
2239 英利-KY,12,20160127
2241 艾姆勒,12,20200826
2243 宏旭-KY,12,20170927
2247 汎德永業,12,20201012
2250 IKKA-KY,12,20210531
2301 光寶科,25,19951117
2302 麗正,24,19850115
2303 聯電,24,19850716
2305 全友,25,19881021
2308 台達電,28,19881219
2312 金寶,31,19891107
2313 華通,28,19900724
2314 台揚,27,19900808
2316 楠梓電,28,19910205
2317 鴻海,31,19910618
2321 東訊,27,19911108
2323 中環,26,19920217
2324 仁寶,25,19920218
2327 國巨,28,19931022
2328 廣宇,28,19931109
2329 華泰,24,19940420
2330 台積電,24,19940905
2331 精英,25,19940921
2332 友訊,27,19941017
2337 旺宏,24,19950315
2338 光罩,24,19950417
2340 台亞,24,19950502
2342 茂矽,24,19950919
2344 華邦電,24,19951018
2345 智邦,27,19951115
2347 聯強,29,19951213
2348 海悅,20,19960105
2349 錸德,26,19960423
2351 順德,24,19960425
2352 佳世達,25,19960722
2353 宏碁,25,19960918
2354 鴻準,31,19961008
2355 敬鵬,28,19961014
2356 英業達,25,19961113
2357 華碩,25,19961114
2359 所羅門,31,19961219
2360 致茂,31,19961221
2362 藍天,25,19970402
2363 矽統,24,19970801
2364 倫飛,25,19970811
2365 昆盈,25,19971103
2367 燿華,28,19971213
2368 金像電,28,19980309
2369 菱生,24,19980410
2371 大同,05,19620209
2373 震旦行,31,19910801
2374 佳能,26,19950116
2375 凱美,28,19980829
2376 技嘉,25,19980924
2377 微星,25,19981031
2379 瑞昱,24,19981026
2380 虹光,25,19981203
2382 廣達,25,19990108
2383 台光電,28,19981127
2385 群光,28,19990105
2387 精元,25,19990125
2388 威盛,24,19990305
2390 云辰,31,19990615
2392 正崴,28,19990920
2393 億光,26,19991104
2395 研華,25,19991213
2397 友通,25,20000115
2399 映泰,25,19991216
2401 凌陽,24,20000127
2402 毅嘉,28,20000114
2404 漢唐,31,20000314
2405 輔信,25,20000317
2406 國碩,26,20000429
2408 南亞科,24,20000817
2409 友達,26,20000908
2412 中華電,27,20001027
2413 環科,28,20000911
2414 精技,29,20000911
2415 錩新,28,20000911
2417 圓剛,25,20000911
2419 仲琦,27,20000911
2420 新巨,28,20000911
2421 建準,28,20000911
2423 固緯,31,20000911
2424 隴華,27,20000911
2425 承啟,25,20000911
2426 鼎元,26,20000911
2427 三商電,30,20000911
2428 興勤,28,20000911
2429 銘旺科,26,20000911
2430 燦坤,29,20000911
2431 聯昌,28,20000911
2433 互盛電,31,20000911
2434 統懋,24,20000911
2436 偉詮電,24,20000911
2438 翔耀,26,20000911
2439 美律,27,20000911
2440 太空梭,28,20001110
2441 超豐,24,20001026
2442 新美齊,14,20001122
2444 兆勁,27,20001208
2449 京元電子,24,20010509
2450 神腦,27,20010524
2451 創見,24,20010503
2453 凌群,30,20010522
2454 聯發科,24,20010723
2455 全新,27,20020124
2457 飛宏,28,20010919
2458 義隆,24,20010919
2459 敦吉,31,20010919
2460 建通,28,20010919
2461 光群雷,31,20010919
2462 良得電,28,20010919
2464 盟立,31,20010919
2465 麗臺,25,20010919
2466 冠西電,26,20010919
2467 志聖,28,20010919
2468 華經,30,20010919
2471 資通,30,20010919
2472 立隆電,28,20010919
2474 可成,31,20010919
2476 鉅祥,28,20010919
2477 美隆電,31,20010919
2478 大毅,28,20010919
2480 敦陽科,30,20010919
2481 強茂,24,20010919
2482 連宇,31,20010919
2483 百容,28,20010919
2484 希華,28,20010919
2485 兆赫,27,20010919
2486 一詮,26,20010919
2488 漢平,31,20010919
2489 瑞軒,26,20010919
2491 吉祥全,26,20010919
2492 華新科,28,20010919
2493 揚博,28,20020123
2495 普安,25,20020325
2496 卓越,20,20020308
2497 怡利電,12,20020204
2498 宏達電,27,20020326
2501 國建,14,19650305
2504 國產,14,19780314
2505 國揚,14,19791114
2506 太設,14,19800202
2509 全坤建,14,19880728
2511 太子,14,19910424
2514 龍邦,20,19920926
2515 中工,14,19930302
2516 新建,14,19930525
2520 冠德,14,19931027
2524 京城,14,19941018
2527 宏璟,14,19950306
2528 皇普,14,19950310
2530 華建,14,19951012
2534 宏盛,14,19960212
2535 達欣工,14,19960311
2536 宏普,14,19960314
2537 聯上發,14,19960906
2538 基泰,14,19961101
2539 櫻花建,14,19970716
2540 愛山林,14,19891226
2542 興富發,14,19990503
2543 皇昌,14,19991015
2545 皇翔,14,20000911
2546 根基,14,20000911
2547 日勝生,14,20001222
2548 華固,14,20020826
2597 潤弘,14,20100326
2601 益航,18,19650301
2603 長榮,15,19870921
2605 新興,15,19891208
2606 裕民,15,19901208
2607 榮運,15,19901214
2608 嘉里大榮,15,19901220
2609 陽明,15,19920420
2610 華航,15,19930226
2611 志信,15,19931028
2612 中航,15,19941020
2613 中櫃,15,19950120
2614 東森,20,19950923
2615 萬海,15,19960516
2616 山隆,23,19971108
2617 台航,15,19980624
2618 長榮航,15,20010919
2630 亞航,15,20180222
2633 台灣高鐵,15,20161027
2634 漢翔,15,20140825
2636 台驊控股,15,20161222
2637 慧洋-KY,15,20101201
2642 宅配通,15,20131212
2645 長榮航太,15,20230314
2646 星宇航空,15,20241025
2701 萬企,16,19650322
2702 華園,16,19650601
2704 國賓,16,19821110
2705 六福,16,19881224
2706 第一店,16,19910625
2707 晶華,16,19980309
2712 遠雄來,16,20131203
2722 夏都,16,20120314
2723 美食-KY,16,20101122
2727 王品,16,20120306
2731 雄獅,16,20130924
2739 寒舍,16,20160519
2748 雲品,16,20161123
2753 八方雲集,16,20210909
2762 世界健身-KY,37,20240124
2801 彰銀,17,19620209
2809 京城銀,17,19830720
2812 台中銀,17,19840515
2816 旺旺保,17,19920505
2820 華票,17,19941026
2832 台產,17,19970930
2834 臺企銀,17,19980103
2836 高雄銀,17,19980518
2838 聯邦銀,17,19980629
2845 遠東銀,17,19981127
2849 安泰銀,17,19990927
2850 新產,17,20000522
2851 中再保,17,20000706
2852 第一保,17,20001128
2855 統一證,17,20020916
2867 三商壽,17,20121218
2880 華南金,17,20011219
2881 富邦金,17,20011219
2882 國泰金,17,20011231
2883 凱基金,17,20011228
2884 玉山金,17,20020128
2885 元大金,17,20020204
2886 兆豐金,17,20020204
2887 台新金,17,20020218
2888 新光金,17,20020219
2889 國票金,17,20020326
2890 永豐金,17,20020509
2891 中信金,17,20020517
2892 第一金,17,20030102
2897 王道銀行,17,20170505
2901 欣欣,18,19760507
2903 遠百,18,19781011
2904 匯僑,20,19830105
2905 三商,18,19880919
2906 高林,18,19891226
2908 特力,18,19930218
2910 統領,18,19961230
2911 麗嬰房,18,19970118
2912 統一超,18,19970822
2913 農林,18,19620209
2915 潤泰全,18,19770720
2923 鼎固-KY,14,20121207
2929 淘帝-KY,18,20131230
2939 永邑-KY,18,20180111
2945 三商家購,18,20211130
3002 歐格,25,20020123
3003 健和興,28,20020219
3004 豐達科,10,20020225
3005 神基,25,20020225
3006 晶豪科,24,20020304
3008 大立光,26,20020311
3010 華立,29,20020722
3011 今皓,28,20020722
3013 晟銘電,25,20020916
3014 聯陽,24,20021029
